title,release_year,decade,primary_genre,budget_tier,budget,revenue,roi,imdb_rating,tomatometer_rating,audience_rating
Executive Decision,1996,1990s,Action,Blockbuster,55000000.0,121969216.0,121.76221090909092,6.5,,
Mrs. Doubtfire,1993,1990s,Comedy,High,25000000.0,441286195.0,1665.14478,7.1,71.0,77.0
The Next Karate Kid,1994,1990s,Adventure,Mid,12000000.0,15826984.0,31.89153333333333,4.6,7.0,24.0
No Escape,1994,1990s,Action,High,20000000.0,15340000.0,-23.3,6.1,47.0,62.0
A Perfect World,1993,1990s,Crime,High,30000000.0,135130999.0,350.43666333333334,7.5,79.0,84.0
Philadelphia,1993,1990s,Drama,High,26000000.0,206678440.0,694.9170769230769,7.7,80.0,89.0
The Piano,1993,1990s,Drama,Mid,7000000.0,116700000.0,1567.142857142857,7.5,92.0,86.0
Poetic Justice,1993,1990s,Drama,Mid,14000000.0,27515786.0,96.54132857142858,6.2,34.0,83.0
The Ref,1994,1990s,Comedy,Mid,11000000.0,11439193.0,3.9926636363636367,6.9,72.0,73.0
The Remains of the Day,1993,1990s,Drama,Mid,11500000.0,23237911.0,102.06879130434784,7.8,95.0,89.0
Renaissance Man,1994,1990s,Comedy,High,40000000.0,24332324.0,-39.16919,6.2,12.0,53.0
RoboCop 3,1993,1990s,Action,High,22000000.0,10696210.0,-51.38086363636364,4.2,6.0,15.0
Robin Hood: Men in Tights,1993,1990s,Comedy,High,20000000.0,35739755.0,78.698775,6.7,40.0,81.0
Romeo Is Bleeding,1993,1990s,Action,Mid,11500000.0,3275585.0,-71.51665217391304,6.5,26.0,62.0
Ruby in Paradise,1993,1990s,Drama,Low,800000.0,1001437.0,25.179625,6.9,,
Rudy,1993,1990s,Drama,Mid,12000000.0,22750363.0,89.58635833333334,7.5,78.0,90.0
Schindler's List,1993,1990s,Drama,High,22000000.0,321365567.0,1360.7525772727274,9.0,97.0,97.0
Serial Mom,1994,1990s,Comedy,Mid,13000000.0,7820688.0,-39.84086153846154,6.8,63.0,72.0
The Shadow,1994,1990s,Adventure,High,25000000.0,48063435.0,92.25374,6.1,35.0,44.0
Sleepless in Seattle,1993,1990s,Comedy,High,21000000.0,227799884.0,984.7613523809524,6.8,,
Sliver,1993,1990s,Drama,High,40000000.0,116300000.0,190.75,5.1,11.0,28.0
Blade Runner,1982,1980s,Science Fiction,High,28000000.0,33139618.0,18.355778571428573,8.1,90.0,91.0
So I Married an Axe Murderer,1993,1990s,Comedy,High,20000000.0,11585483.0,-42.072585,6.5,53.0,68.0
Super Mario Bros.,1993,1990s,Adventure,Blockbuster,48000000.0,20915465.0,-56.42611458333333,4.2,,
Surviving the Game,1994,1990s,Action,Mid,7400000.0,7690013.0,3.9190945945945934,6.2,24.0,48.0
Terminal Velocity,1994,1990s,Action,Blockbuster,50000000.0,16478900.0,-67.0422,5.5,19.0,22.0
The Nightmare Before Christmas,1993,1990s,Fantasy,High,18000000.0,75634409.0,320.1911611111111,7.9,95.0,91.0
The Three Musketeers,1993,1990s,Action,High,30000000.0,53898845.0,79.66281666666667,6.4,78.0,74.0
Tombstone,1993,1990s,Action,High,25000000.0,56505065.0,126.02026,7.8,,
True Romance,1993,1990s,Action,Mid,12500000.0,12281551.0,-1.7475919999999998,7.9,93.0,93.0
The Pagemaster,1994,1990s,Fantasy,High,27000000.0,13670688.0,-49.36782222222222,6.2,21.0,48.0
